,Job Tier,Job Type,Skill
687,Entry,Hourly,Data Scraping
688,Entry,Hourly,MailChimp
689,Entry,Hourly,Zoho CRM
690,Entry,Hourly,English
691,Entry,Hourly,Microsoft Excel
692,Intermediate,Fixed-Price,Content Writing
693,Intermediate,Fixed-Price,Nutrition
694,Intermediate,Fixed-Price,Physical Fitness
695,Intermediate,Fixed-Price,C++
696,Intermediate,Fixed-Price,Machine Learning
697,Intermediate,Fixed-Price,OCR Algorithms
698,Intermediate,Fixed-Price,OpenCV
699,Expert,Hourly,Data Science
700,Expert,Hourly,Data Visualization
701,Expert,Hourly,Predictive Analytics
702,Expert,Hourly,Quantitative Analysis
703,Expert,Hourly,Statistics
704,Intermediate,Fixed-Price,Web Scraping
705,Entry,Fixed-Price,Microsoft Access Programming
706,Entry,Fixed-Price,Microsoft Excel
707,Intermediate,Hourly,Data Mining
708,Intermediate,Hourly,Google Cloud Platform
709,Intermediate,Hourly,Data Mining
710,Expert,Hourly,Lean Manufacturing
711,Expert,Hourly,Manufacturing
712,Expert,Hourly,Master Production Schedule
713,Expert,Hourly,Microsoft Access Programming
714,Expert,Hourly,Microsoft Excel
715,Expert,Hourly,Program Management
716,Intermediate,Hourly,Data Mining
717,Intermediate,Hourly,Data Science
718,Intermediate,Hourly,Data Scraping
719,Intermediate,Hourly,Internet Research
720,Intermediate,Hourly,Research
721,Expert,Hourly,Amazon Web Services
722,Expert,Hourly,AWS Lambda
723,Expert,Hourly,Chat Support
724,Expert,Hourly,Chatbot Development
725,Expert,Hourly,Email Handling
726,Expert,Hourly,Natural Language Processing
727,Expert,Hourly,Python
728,Expert,Hourly,WordPress
729,Entry,Fixed-Price,Google Maps API
730,Intermediate,Hourly,Data Visualization
731,Intermediate,Hourly,Highcharts
732,Intermediate,Hourly,iDashboards
733,Expert,Hourly,Deep Learning
734,Expert,Hourly,Machine Learning
735,Expert,Hourly,Python
736,Expert,Hourly,TensorFlow
737,Expert,Fixed-Price,Data Analytics
738,Expert,Fixed-Price,Data Science
739,Expert,Fixed-Price,Deep Learning
740,Expert,Fixed-Price,Deep Neural Networks
741,Expert,Fixed-Price,Machine Learning
742,Expert,Fixed-Price,Python
743,Expert,Fixed-Price,TensorFlow
744,Intermediate,Fixed-Price,Data Mining
745,Intermediate,Fixed-Price,Spreadsheets
746,Intermediate,Hourly,Data Visualization
747,Intermediate,Hourly,Microsoft Power BI
748,Intermediate,Hourly,SQL
749,Intermediate,Hourly,Data Analytics
750,Intermediate,Hourly,DoubleClick for Publishers
751,Intermediate,Hourly,Facebook Marketing
752,Intermediate,Hourly,Google Analytics
753,Intermediate,Hourly,WordPress
754,Expert,Fixed-Price,Data Mining
755,Expert,Fixed-Price,Data Scraping
756,Expert,Fixed-Price,Microsoft Excel
757,Intermediate,Hourly,Data Scraping
758,Intermediate,Hourly,PHP
759,Intermediate,Hourly,Web Design
760,Entry,Hourly,Google Analytics
761,Expert,Hourly,Artificial Intelligence
762,Expert,Hourly,Computer Vision
763,Expert,Hourly,Deep Learning
764,Expert,Hourly,Deep Neural Networks
765,Expert,Hourly,Machine Learning
766,Expert,Hourly,TensorFlow
767,Expert,Hourly,Data Analytics
768,Expert,Hourly,Data Science
769,Expert,Hourly,Excel VBA
770,Expert,Hourly,Mathematics
771,Expert,Hourly,Microsoft Excel
772,Expert,Hourly,Quantitative Analysis
773,Expert,Hourly,Statistics
774,Expert,Hourly,Tableau Software
775,Entry,Hourly,Administrative Support
776,Entry,Hourly,Customer Service
777,Entry,Hourly,Customer Support
778,Entry,Hourly,Data Entry
779,Entry,Hourly,Virtual Assistant
780,Intermediate,Hourly,Data Science
781,Intermediate,Hourly,Machine Learning
782,Intermediate,Hourly,Python
783,Intermediate,Hourly,R
784,Expert,Fixed-Price,Geolocation
785,Expert,Fixed-Price,JavaScript
786,Expert,Fixed-Price,PHP
787,Entry,Hourly,Python
788,Entry,Hourly,Selenium
789,Intermediate,Fixed-Price,Data Mining
790,Intermediate,Fixed-Price,Data Scraping
791,Intermediate,Fixed-Price,Email Deliverability
792,Intermediate,Fixed-Price,Lead Generation
793,Intermediate,Fixed-Price,Virtual Assistant
794,Intermediate,Fixed-Price,Content Marketing
795,Intermediate,Fixed-Price,Data Extraction
796,Intermediate,Fixed-Price,Data Scraping
797,Intermediate,Fixed-Price,Dataforma
798,Intermediate,Fixed-Price,Python
799,Intermediate,Fixed-Price,Scripting
800,Intermediate,Fixed-Price,Content Management
801,Intermediate,Fixed-Price,Web Scraping
802,Entry,Hourly,MongoDB
803,Entry,Hourly,Microsoft Excel
804,Entry,Hourly,Microsoft Project
805,Expert,Hourly,Bitcoin
806,Expert,Hourly,Blockchain
807,Expert,Hourly,Ethereum
808,Entry,Hourly,Bitcoin
809,Entry,Hourly,Foreign Exchange Trading
810,Entry,Hourly,Python
811,Intermediate,Fixed-Price,Data Mining
812,Expert,Hourly,Data Mining
813,Expert,Hourly,Data Science
814,Expert,Hourly,Data Scraping
815,Entry,Fixed-Price,Data Entry
816,Entry,Fixed-Price,Financial Analysis
817,Entry,Fixed-Price,Financial Modeling
818,Entry,Fixed-Price,Internet Research
819,Entry,Fixed-Price,Microsoft Excel
820,Intermediate,Hourly,API Development
821,Intermediate,Hourly,Data Extraction
822,Intermediate,Hourly,Data Scraping
823,Intermediate,Hourly,Web Scraping
824,Intermediate,Hourly,Data Scraping
825,Intermediate,Hourly,Web Scraping
826,Entry,Hourly,Data Entry
827,Entry,Hourly,Microsoft Excel
828,Intermediate,Hourly,C#
829,Intermediate,Hourly,Data Scraping
830,Intermediate,Hourly,Web Scraping
831,Entry,Hourly,Data Mining
832,Entry,Hourly,Data Scraping
833,Entry,Hourly,Lead Generation
834,Entry,Hourly,Microsoft Excel
835,Entry,Hourly,Data Entry
836,Entry,Hourly,Data Mining
837,Entry,Hourly,Microsoft Excel
838,Entry,Hourly,Data Analytics
839,Entry,Hourly,Data Mining
840,Entry,Hourly,Internet Research
841,Entry,Hourly,Market Research
842,Intermediate,Fixed-Price,Data Mining
843,Intermediate,Fixed-Price,Lead Generation
844,Intermediate,Fixed-Price,LinkedIn Development
845,Expert,Hourly,Data Analytics
846,Expert,Hourly,Internet of Things
847,Expert,Hourly,Mathematics
848,Expert,Hourly,C++
849,Expert,Hourly,MATLAB
850,Entry,Hourly,CRM
851,Entry,Hourly,Data Entry
852,Entry,Hourly,Data Mining
853,Entry,Hourly,Lead Generation
854,Entry,Hourly,Market Research
855,Intermediate,Hourly,Web Scraping
856,Intermediate,Fixed-Price,Data Entry
857,Intermediate,Fixed-Price,Email Marketing
858,Intermediate,Fixed-Price,English Grammar
859,Intermediate,Fixed-Price,Internet Research
860,Entry,Hourly,Data Mining
861,Entry,Hourly,LexisNexis Accurint
862,Entry,Hourly,Microsoft Excel
863,Expert,Hourly,Data Mining
864,Expert,Hourly,Data Science
865,Expert,Hourly,Statistics
866,Entry,Hourly,Data Entry
867,Entry,Hourly,Microsoft Excel
868,Entry,Fixed-Price,Data Mining
869,Expert,Fixed-Price,Apache Spark
870,Expert,Fixed-Price,Core Java
871,Expert,Fixed-Price,"""Extract, Transform and Load (ETL)"""
872,Expert,Fixed-Price,Hadoop
873,Entry,Hourly,English
874,Entry,Hourly,Turkish
875,Intermediate,Fixed-Price,Elasticsearch
876,Intermediate,Fixed-Price,Hadoop
877,Intermediate,Fixed-Price,logstash
878,Intermediate,Fixed-Price,NoSQL
879,Intermediate,Fixed-Price,PHP
880,Intermediate,Fixed-Price,Web Design
881,Intermediate,Fixed-Price,Website Development
882,Expert,Hourly,Python
883,Expert,Hourly,R
884,Expert,Hourly,Scikit-Learn
885,Expert,Fixed-Price,MATLAB
886,Expert,Fixed-Price,Statistical Computing
887,Expert,Fixed-Price,Statistics
888,Entry,Hourly,Financial Accounting
889,Entry,Hourly,Microsoft Excel
890,Expert,Fixed-Price,Data Entry
891,Expert,Fixed-Price,Data Mining
892,Expert,Fixed-Price,Data Science
893,Expert,Fixed-Price,Data Scraping
894,Expert,Fixed-Price,Internet Research
895,Expert,Fixed-Price,Microsoft Excel
896,Expert,Fixed-Price,Web Scraping
897,Intermediate,Fixed-Price,SQL
898,Intermediate,Fixed-Price,Microsoft Windows Azure
899,Entry,Hourly,Voice Over
900,Intermediate,Hourly,Kibana
901,Intermediate,Fixed-Price,Design Thinking
902,Intermediate,Fixed-Price,Jupyter
903,Intermediate,Fixed-Price,Python
904,Intermediate,Fixed-Price,Systems Development
905,Intermediate,Fixed-Price,Data Science
906,Intermediate,Fixed-Price,Machine Learning
907,Intermediate,Fixed-Price,Python
908,Intermediate,Fixed-Price,Statistics
909,Intermediate,Fixed-Price,TensorFlow
910,Intermediate,Hourly,Data Scraping
911,Intermediate,Fixed-Price,Article Writing
912,Intermediate,Fixed-Price,Content Writing
913,Intermediate,Fixed-Price,Intellectual Property Law
914,Intermediate,Fixed-Price,Patent Law
915,Expert,Hourly,Data Analytics
916,Expert,Hourly,Electronic Design
917,Expert,Hourly,Embedded Systems
918,Intermediate,Fixed-Price,Excel VBA
919,Intermediate,Fixed-Price,Microsoft Excel
920,Intermediate,Hourly,Data Entry
921,Intermediate,Hourly,Market Research
922,Intermediate,Hourly,Real Estate Appraisal
923,Intermediate,Hourly,Real Estate Management
924,Intermediate,Hourly,Trusts Estates and Wills
925,Intermediate,Fixed-Price,Data Entry
926,Intermediate,Fixed-Price,Data Scraping
927,Intermediate,Fixed-Price,Database Design
928,Expert,Fixed-Price,C#
929,Expert,Fixed-Price,Cloud Computing
930,Expert,Fixed-Price,Digital Signal Processing
931,Expert,Fixed-Price,Mobile Programming
932,Expert,Hourly,Data Collection
933,Expert,Hourly,Data Mining
934,Expert,Hourly,Data Science
935,Expert,Hourly,Data Scraping
936,Expert,Hourly,Data Visualization
937,Expert,Hourly,Python
938,Expert,Hourly,Quantitative Analysis
939,Expert,Hourly,Research
940,Expert,Hourly,SQL Programming
941,Expert,Hourly,Tableau Software
942,Entry,Fixed-Price,Data Mining
943,Entry,Fixed-Price,Data Scraping
944,Entry,Fixed-Price,Data Entry
945,Entry,Fixed-Price,Google Docs
946,Entry,Fixed-Price,Internet Research
947,Intermediate,Hourly,Data Entry
948,Intermediate,Hourly,Data Mining
949,Intermediate,Hourly,Internet Research
950,Intermediate,Hourly,Virtual Assistant
951,Expert,Hourly,Amazon Relational Database Service
952,Expert,Hourly,Amazon Web Services
953,Expert,Hourly,Amazon Webstore
954,Expert,Hourly,API Development
955,Expert,Hourly,Artificial Intelligence
956,Expert,Hourly,Data Analytics
957,Expert,Hourly,Data Mining
958,Expert,Hourly,Database Cataloguing
959,Expert,Hourly,Database Design
960,Expert,Hourly,Google Apps
961,Expert,Hourly,Machine Learning
962,Expert,Hourly,Scripting
963,Expert,Hourly,Tableau Software
964,Expert,Hourly,Trend Analysis
965,Expert,Hourly,Web Scraping
966,Expert,Hourly,Zapier
967,Entry,Hourly,Data Entry
968,Entry,Hourly,Microsoft Excel
969,Expert,Fixed-Price,Accounting
970,Expert,Fixed-Price,Capital Markets
971,Expert,Fixed-Price,Excel VBA
972,Expert,Fixed-Price,Financial Analysis
973,Expert,Fixed-Price,Internet Research
974,Expert,Fixed-Price,Machine Learning
975,Expert,Fixed-Price,Predictive Analytics
976,Expert,Fixed-Price,Python
977,Expert,Fixed-Price,Regression Testing
978,Expert,Fixed-Price,Statistics
979,Intermediate,Fixed-Price,Chatbot Development
980,Intermediate,Fixed-Price,Node.js
981,Entry,Hourly,Data Extraction
982,Entry,Hourly,Data Mining
983,Entry,Hourly,Data Scraping
984,Entry,Hourly,Microsoft Excel
985,Intermediate,Hourly,Data Scraping
986,Intermediate,Hourly,Database Design
987,Intermediate,Hourly,MySQL Programming
988,Intermediate,Hourly,Python
989,Intermediate,Hourly,Web Scraping
990,Entry,Hourly,Data Entry
991,Entry,Hourly,Data Mining
992,Entry,Hourly,Data Scraping
993,Entry,Hourly,Internet Research
994,Entry,Hourly,Microsoft Excel
995,Intermediate,Fixed-Price,Data Analytics
996,Intermediate,Fixed-Price,Data Visualization
997,Intermediate,Fixed-Price,Microsoft Excel
998,Intermediate,Fixed-Price,Microsoft Excel PowerPivot
999,Intermediate,Fixed-Price,Microsoft Power BI
1000,Intermediate,Fixed-Price,Data Entry
1001,Intermediate,Fixed-Price,English
1002,Intermediate,Fixed-Price,Internet Research
1003,Intermediate,Fixed-Price,Microsoft Excel
1004,Expert,Hourly,API Development
1005,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
1006,Expert,Hourly,ArcGIS
1007,Expert,Hourly,Cartography & Maps
1008,Expert,Hourly,Data Entry
1009,Expert,Hourly,Geospatial
1010,Expert,Hourly,Geographic Information System (GIS)
1011,Expert,Hourly,Internet Research
1012,Expert,Hourly,Microsoft Excel
1013,Intermediate,Fixed-Price,Data Encoding
1014,Intermediate,Fixed-Price,Qualitative Research
1015,Intermediate,Hourly,ClickFunnels
1016,Intermediate,Hourly,Conversion Rate Optimization
1017,Intermediate,Hourly,Facebook Marketing
1018,Intermediate,Hourly,Shopify
1019,Expert,Fixed-Price,Mapr
1020,Intermediate,Hourly,Microsoft Excel
1021,Intermediate,Fixed-Price,Data Mining
1022,Intermediate,Fixed-Price,Database Design
1023,Intermediate,Fixed-Price,Investigative Reporting
1024,Intermediate,Fixed-Price,Web Scraping
1025,Expert,Hourly,Excel VBA
1026,Expert,Hourly,Microsoft Excel
1027,Expert,Hourly,Microsoft Excel PowerPivot
1028,Expert,Hourly,Microsoft Power BI
1029,Intermediate,Fixed-Price,Microsoft Excel
1030,Intermediate,Fixed-Price,Data Scraping
1031,Intermediate,Hourly,Excel VBA
1032,Intermediate,Hourly,IMacros
1033,Intermediate,Hourly,Microsoft Access Administration
1034,Intermediate,Hourly,Microsoft Access Programming
1035,Intermediate,Hourly,Visual Basic
1036,Intermediate,Hourly,VBA
1037,Intermediate,Fixed-Price,Data Entry
1038,Intermediate,Fixed-Price,Database Management
1039,Intermediate,Fixed-Price,Research
1040,Intermediate,Fixed-Price,Data Scraping
1041,Expert,Fixed-Price,Data Analytics
1042,Expert,Fixed-Price,Data Visualization
1043,Expert,Fixed-Price,Mobile UI Design
1044,Expert,Fixed-Price,Natural Language Processing
1045,Expert,Fixed-Price,Tableau Software
1046,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
1047,Expert,Hourly,SAP Business Objects
1048,Expert,Hourly,SQL
1049,Expert,Hourly,Tableau Software
1050,Expert,Hourly,Google Analytics
1051,Expert,Hourly,Google Analytics API
1052,Expert,Hourly,Microsoft Excel
1053,Expert,Hourly,R
1054,Intermediate,Fixed-Price,Data Mining
1055,Intermediate,Fixed-Price,HTML5
1056,Intermediate,Fixed-Price,JavaScript
1057,Intermediate,Fixed-Price,Natural Language Processing
1058,Intermediate,Fixed-Price,Textpattern
1059,Intermediate,Hourly,A/B Testing
1060,Intermediate,Hourly,User Experience Design
1061,Intermediate,Fixed-Price,Data Mining
1062,Intermediate,Fixed-Price,Lead Generation
1063,Intermediate,Fixed-Price,LexisNexis Accurint
1064,Expert,Hourly,Excel VBA
1065,Expert,Hourly,Microsoft Access Programming
1066,Expert,Hourly,Microsoft SQL Server Administration
1067,Expert,Hourly,SQL
1068,Expert,Hourly,VBA
1069,Intermediate,Hourly,Data Mining
1070,Intermediate,Hourly,Data Science
1071,Intermediate,Hourly,Machine Learning
1072,Intermediate,Fixed-Price,LaTeX
1073,Intermediate,Fixed-Price,Mathematics
1074,Intermediate,Fixed-Price,Microsoft Excel
1075,Expert,Fixed-Price,Data Analytics
1076,Expert,Fixed-Price,Data Interpretation
1077,Expert,Fixed-Price,Data Science
1078,Expert,Fixed-Price,Data Visualization
1079,Expert,Fixed-Price,Machine Learning
1080,Expert,Fixed-Price,Predictive Analytics
1081,Expert,Fixed-Price,Statistics
1082,Expert,Fixed-Price,Data Mining
1083,Intermediate,Fixed-Price,Data Analytics
1084,Intermediate,Fixed-Price,Data Visualization
1085,Intermediate,Fixed-Price,Tableau Software
1086,Entry,Hourly,Data Entry
1087,Entry,Hourly,Data Mining
1088,Entry,Hourly,Internet Research
1089,Entry,Hourly,Microsoft Excel
1090,Intermediate,Hourly,Microsoft Excel
1091,Expert,Fixed-Price,Business Intelligence
1092,Expert,Fixed-Price,Microsoft Business Intelligence Studio
1093,Expert,Fixed-Price,Web Crawling
1094,Expert,Fixed-Price,Microsoft Excel
1095,Expert,Fixed-Price,Python
1096,Expert,Fixed-Price,Web Scraping
1097,Expert,Fixed-Price,Geolocation
1098,Expert,Fixed-Price,Google Maps API
1099,Expert,Fixed-Price,HTML5
1100,Expert,Fixed-Price,PHP
1101,Intermediate,Fixed-Price,ASP.NET
1102,Intermediate,Fixed-Price,C#
1103,Intermediate,Fixed-Price,Database Design
1104,Intermediate,Fixed-Price,"""Extract, Transform and Load (ETL)"""
1105,Intermediate,Fixed-Price,Python
1106,Intermediate,Fixed-Price,SQL
1107,Intermediate,Fixed-Price,SQL Azure
1108,Entry,Fixed-Price,Analytics
1109,Entry,Fixed-Price,Chemistry
1110,Expert,Hourly,API Documentation
1111,Expert,Hourly,Chatbot Development
1112,Expert,Hourly,IBM Bluemix
1113,Expert,Hourly,IBM Watson
1114,Expert,Hourly,Machine Learning
1115,Expert,Hourly,Natural Language Processing
1116,Expert,Hourly,Python
1117,Expert,Fixed-Price,MetaTrader 4 (MT4)
1118,Entry,Hourly,Python
1119,Expert,Fixed-Price,Alibaba Sourcing
1120,Expert,Fixed-Price,Amazon Webstore
1121,Expert,Fixed-Price,Market Research
1122,Intermediate,Fixed-Price,Embedded Systems
1123,Intermediate,Fixed-Price,Machine Learning
1124,Intermediate,Fixed-Price,Raspberry Pi
1125,Expert,Hourly,A/B Testing
1126,Expert,Hourly,Conversion Rate Optimization
1127,Intermediate,Fixed-Price,Excel VBA
1128,Intermediate,Fixed-Price,IMacros
1129,Entry,Hourly,Bitcoin
1130,Entry,Hourly,Blockchain
1131,Entry,Hourly,Ethereum
1132,Intermediate,Hourly,Content Writing
1133,Intermediate,Hourly,Proofreading
1134,Intermediate,Hourly,Writing
1135,Intermediate,Hourly,Automotive Engineering
1136,Intermediate,Hourly,Data Science
1137,Intermediate,Hourly,Mathematics
1138,Intermediate,Hourly,Mechanical Engineering
1139,Intermediate,Hourly,Mechatronics
1140,Intermediate,Hourly,Physics
1141,Intermediate,Hourly,Amazon Web Services
1142,Intermediate,Hourly,Amazon Webstore
1143,Intermediate,Hourly,Article Writing
1144,Intermediate,Hourly,Content Writing
1145,Intermediate,Hourly,eBay Listing/Writing
1146,Intermediate,Hourly,eBay Marketing
1147,Intermediate,Hourly,SEO Keyword Research
1148,Intermediate,Hourly,Website Development
1149,Entry,Hourly,Data Science
1150,Entry,Hourly,Data Visualization
1151,Entry,Hourly,Microsoft Power BI
1152,Expert,Hourly,Apache Spark
1153,Expert,Hourly,Apache Cassandra
1154,Expert,Fixed-Price,Instagram API
1155,Expert,Fixed-Price,Twitter API
1156,Expert,Fixed-Price,Web Scraping
1157,Expert,Fixed-Price,Calculus
1158,Expert,Fixed-Price,Mathematics
1159,Entry,Fixed-Price,Data Entry
1160,Entry,Fixed-Price,PhantomJS
1161,Entry,Fixed-Price,Python
1162,Intermediate,Hourly,Artificial Intelligence
1163,Intermediate,Hourly,Bot Development
1164,Intermediate,Hourly,Chatbot Development
1165,Intermediate,Hourly,Data Analytics
1166,Intermediate,Hourly,Data Science
1167,Intermediate,Hourly,Machine Learning
1168,Intermediate,Hourly,Microsoft Visual Studio
1169,Intermediate,Hourly,Natural Language Processing
1170,Intermediate,Hourly,Statistics
1171,Intermediate,Hourly,Twilio API
1172,Intermediate,Fixed-Price,Analytics
1173,Intermediate,Fixed-Price,Android
1174,Intermediate,Fixed-Price,Chrome Extension
1175,Intermediate,Fixed-Price,Data Extraction
1176,Intermediate,Fixed-Price,"""Extract, Transform and Load (ETL)"""
1177,Intermediate,Fixed-Price,iOS Development
1178,Intermediate,Hourly,Data Science
1179,Intermediate,Hourly,Mathematics
1180,Intermediate,Hourly,Statistics
1181,Expert,Hourly,Domo
1182,Intermediate,Hourly,Analytics
1183,Intermediate,Hourly,Microsoft Excel
1184,Entry,Fixed-Price,Data Mining
1185,Entry,Fixed-Price,Data Scraping
1186,Entry,Fixed-Price,Internet Research
1187,Entry,Fixed-Price,Research
1188,Intermediate,Fixed-Price,.NET Framework
1189,Entry,Fixed-Price,Internet Research
1190,Entry,Fixed-Price,Microsoft Excel
1191,Entry,Fixed-Price,Virtual Assistant
1192,Entry,Fixed-Price,Data Entry
1193,Intermediate,Hourly,Amazon EC2
1194,Intermediate,Hourly,Amazon Web Services
1195,Intermediate,Hourly,Big Data
1196,Intermediate,Hourly,Apache Hive
1197,Intermediate,Hourly,Apache Spark
1198,Intermediate,Hourly,Big Data
1199,Intermediate,Hourly,Data Science
1200,Intermediate,Hourly,Hadoop
1201,Intermediate,Hourly,Java
1202,Intermediate,Hourly,Machine Learning
1203,Intermediate,Hourly,Python
1204,Intermediate,Hourly,R
1205,Expert,Fixed-Price,PHP
1206,Intermediate,Hourly,Microsoft Power BI
1207,Intermediate,Hourly,SAP
1208,Intermediate,Hourly,SQL
1209,Expert,Hourly,Data Mining
1210,Expert,Hourly,Data Science
1211,Expert,Hourly,Data Scraping
1212,Expert,Hourly,Data Visualization
1213,Expert,Hourly,Python
1214,Expert,Hourly,Quantitative Analysis
1215,Expert,Hourly,Research
1216,Expert,Hourly,SQL Programming
1217,Expert,Fixed-Price,API Development
1218,Expert,Fixed-Price,C
1219,Expert,Fixed-Price,Python
1220,Expert,Fixed-Price,Quantitative Analysis
1221,Expert,Fixed-Price,Unix Shell
1222,Expert,Fixed-Price,Amazon EC2
1223,Expert,Fixed-Price,Amazon S3
1224,Expert,Fixed-Price,Amazon Web Services
1225,Expert,Fixed-Price,AWS Lambda
1226,Expert,Fixed-Price,Cloud Computing
1227,Expert,Fixed-Price,CRM
1228,Expert,Fixed-Price,Data Backup
1229,Expert,Fixed-Price,Google Cloud Platform
1230,Intermediate,Hourly,Conversion Rate Optimization
1231,Intermediate,Hourly,Data Mining
1232,Intermediate,Hourly,Google Analytics
1233,Intermediate,Hourly,On-Page Optimization
1234,Intermediate,Hourly,Optimizely
1235,Entry,Hourly,Appointment Setting
1236,Entry,Hourly,Customer Service
1237,Entry,Hourly,Data Encoding
1238,Entry,Hourly,Technical Support
1239,Entry,Hourly,Virtual Assistant
1240,Expert,Hourly,CMS Development
1241,Expert,Hourly,Google AdWords
1242,Expert,Hourly,Google AdWords Development
1243,Expert,Hourly,Google Analytics
1244,Intermediate,Fixed-Price,Data Mining
1245,Intermediate,Fixed-Price,Internet Research
1246,Intermediate,Fixed-Price,Lead Generation
1247,Intermediate,Fixed-Price,Web Scraping
1248,Expert,Hourly,AJAX
1249,Expert,Hourly,ASP.NET
1250,Expert,Hourly,C#
1251,Expert,Hourly,jQuery
1252,Expert,Hourly,Microsoft Visual Studio
1253,Intermediate,Fixed-Price,Analytics
1254,Intermediate,Fixed-Price,Functional Testing
1255,Intermediate,Fixed-Price,Google+
1256,Intermediate,Fixed-Price,Mobile App Testing
1257,Intermediate,Fixed-Price,Usability Testing
1258,Intermediate,Hourly,Adobe Photoshop
1259,Intermediate,Hourly,Amazon Web Services
1260,Intermediate,Hourly,eBay Listing/Writing
1261,Intermediate,Hourly,Image Editing
1262,Intermediate,Hourly,Microsoft Excel
1263,Expert,Fixed-Price,Automation
1264,Expert,Fixed-Price,Excel VBA
1265,Expert,Fixed-Price,Microsoft Access Programming
1266,Expert,Fixed-Price,R
1267,Expert,Fixed-Price,VBA
1268,Expert,Hourly,Data Analytics
1269,Expert,Hourly,MySQL Programming
1270,Intermediate,Fixed-Price,Data Extraction
1271,Intermediate,Fixed-Price,Data Scraping
1272,Intermediate,Fixed-Price,Microsoft Excel
1273,Entry,Fixed-Price,Data Entry
1274,Expert,Fixed-Price,API Development
1275,Expert,Fixed-Price,Data Visualization
1276,Expert,Fixed-Price,SQL
1277,Expert,Fixed-Price,Tableau Software
1278,Entry,Hourly,Web Scraping
1279,Expert,Hourly,Data Extraction
1280,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
1281,Expert,Hourly,Facebook Javascript (FBJS)
1282,Expert,Hourly,Google Analytics API
1283,Expert,Hourly,PHP
1284,Expert,Hourly,Python
1285,Expert,Hourly,Cisco CallManager
1286,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
1287,Intermediate,Fixed-Price,Mathematics
1288,Intermediate,Hourly,Data Entry
1289,Intermediate,Hourly,Data Management
1290,Intermediate,Hourly,Data Mining
1291,Intermediate,Hourly,Microsoft Excel
1292,Entry,Hourly,Data Analytics
1293,Entry,Hourly,IBM SPSS
1294,Intermediate,Fixed-Price,Internet Research
1295,Intermediate,Fixed-Price,Interviewing
1296,Entry,Fixed-Price,Python
1297,Entry,Hourly,Data Analytics
1298,Entry,Hourly,Data Collection
1299,Entry,Hourly,Data Entry
1300,Entry,Hourly,Data Mining
1301,Entry,Hourly,Google Search
1302,Entry,Hourly,HubSpot
1303,Entry,Hourly,Internet Research
1304,Entry,Hourly,Lead Generation
1305,Entry,Hourly,Social Media Marketing
1306,Entry,Hourly,Website Analytics
1307,Intermediate,Fixed-Price,Data Scraping
1308,Intermediate,Fixed-Price,Python
1309,Intermediate,Fixed-Price,Scrapy
1310,Intermediate,Fixed-Price,Web Scraping
1311,Expert,Hourly,Amazon S3
1312,Expert,Hourly,Apache Hive
1313,Expert,Hourly,Big Data
1314,Expert,Hourly,Hadoop
1315,Expert,Hourly,Internet Research
1316,Expert,Hourly,Inventory Management
1317,Expert,Hourly,Shopify
1318,Expert,Hourly,Salesforce.com
1319,Entry,Hourly,Data Entry
1320,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
1321,Expert,Hourly,Machine Learning
1322,Expert,Hourly,Natural Language Processing
1323,Expert,Hourly,Python
1324,Expert,Hourly,SQL
1325,Intermediate,Hourly,Data Entry
1326,Intermediate,Hourly,Google Places API
1327,Intermediate,Hourly,Internet Research
1328,Intermediate,Hourly,Microsoft Excel
1329,Entry,Hourly,English
1330,Entry,Fixed-Price,Data Entry
1331,Intermediate,Hourly,Ggplot2
1332,Intermediate,Hourly,R
1333,Entry,Hourly,Foreign Exchange Trading
1334,Entry,Hourly,Investment Research
1335,Entry,Hourly,Machine Learning
1336,Entry,Hourly,Python
1337,Entry,Hourly,Statistics
1338,Entry,Hourly,TensorFlow
1339,Intermediate,Hourly,Analytics
1340,Intermediate,Hourly,Data Analytics
1341,Intermediate,Hourly,Data Visualization
1342,Intermediate,Hourly,Google Analytics
1343,Intermediate,Hourly,Google Analytics API
1344,Intermediate,Hourly,Microsoft Excel
1345,Intermediate,Hourly,Microsoft Excel PowerPivot
1346,Intermediate,Hourly,Microsoft Power BI
1347,Intermediate,Hourly,SQL Azure
1348,Intermediate,Hourly,Microsoft Windows Azure
1349,Expert,Fixed-Price,Machine Learning
1350,Entry,Hourly,Data Mining
1351,Entry,Hourly,Data Scraping
1352,Entry,Hourly,Data Science
1353,Entry,Hourly,MySQL Programming
1354,Entry,Hourly,Website Development
1355,Intermediate,Hourly,CUDA
1356,Intermediate,Hourly,Python
1357,Entry,Hourly,Microsoft Excel
1358,Entry,Hourly,Microsoft PowerPoint
1359,Entry,Hourly,Salesforce.com
1360,Entry,Fixed-Price,Data Mining
1361,Entry,Fixed-Price,Google Search
1362,Entry,Fixed-Price,Microsoft Excel
1363,Intermediate,Hourly,Data Visualization
1364,Intermediate,Hourly,Tableau Software
1365,Intermediate,Fixed-Price,Intuit QuickBooks
1366,Intermediate,Fixed-Price,Salesforce.com
1367,Expert,Fixed-Price,Excel VBA
1368,Expert,Fixed-Price,Microsoft Excel
1369,Expert,Fixed-Price,VBA
